,transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type
767,92976425176,267282,2014-01-14,12,5,2,817,171.57,1805.57,e-Shop
775,53259113714,270873,2014-01-13,11,5,3,394,124.11,1306.11,e-Shop
776,60990415403,272399,2014-01-13,4,4,2,581,122.01,1284.01,Flagship store
782,8225949147,267978,2014-01-13,4,1,1,316,33.18,349.18,Flagship store
803,16935577825,267500,2014-12-01,9,3,4,1035,434.7,4574.7,Flagship store
806,19354686316,268160,2014-12-01,1,2,2,238,49.98,525.98,e-Shop
817,91521629116,270160,2014-12-01,4,2,2,1118,234.78,2470.78,e-Shop
825,5292050908,268919,2014-11-01,11,5,5,552,289.8,3049.8,MBR
832,99986751618,274814,2014-11-01,1,1,5,923,484.575,5099.575,MBR
844,28181230250,268740,2014-10-01,3,5,2,352,73.92,777.92,e-Shop
859,85552282236,274221,2014-10-01,11,5,2,194,40.74,428.74,e-Shop
874,29050775506,270226,2014-09-01,11,5,2,616,129.36,1361.36,Flagship store
878,84471719078,266799,2014-09-01,10,6,1,1068,112.14,1180.14,Flagship store
882,86078338517,270181,2014-09-01,11,5,2,1404,294.84,3102.84,e-Shop
884,36846676725,270026,2014-08-01,1,4,5,309,162.225,1707.225,TeleShop
900,90687658880,274865,2014-08-01,11,5,3,736,231.84,2439.84,e-Shop
910,56340697061,267667,2014-07-01,11,6,5,836,438.9,4618.9,e-Shop
913,55330587213,274226,2014-07-01,7,5,5,1401,735.525,7740.525,e-Shop
921,80406993092,273615,2014-07-01,4,1,1,955,100.275,1055.275,e-Shop
956,66854032651,273570,2014-05-01,1,2,3,896,282.24,2970.24,MBR
982,45391436190,273748,2014-03-01,10,6,4,1077,452.34,4760.34,e-Shop
986,23288156542,274778,2014-03-01,6,5,2,492,103.32,1087.32,TeleShop
1005,95683597518,274832,2014-03-01,2,6,2,276,57.96,609.96,e-Shop
1017,18331140958,267379,2014-02-01,7,5,1,842,88.41,930.41,TeleShop
1023,14302941720,273058,2014-02-01,1,2,1,674,70.77,744.77,e-Shop
1028,90229930537,267749,2014-02-01,10,5,5,1423,747.075,7862.075,e-Shop
1029,91039584326,272165,2014-02-01,10,5,1,1268,133.14,1401.14,e-Shop
1036,20457562627,267468,2014-01-01,3,5,2,663,139.23,1465.23,e-Shop
1044,35762428721,269020,2014-01-01,9,3,1,798,83.79,881.79,e-Shop
1046,28696753858,270695,2014-01-01,11,5,1,704,73.92,777.92,TeleShop
1057,99318505571,270706,2014-01-01,3,5,5,1161,609.525,6414.525,TeleShop
1070,48660589294,274767,2013-12-31,12,5,1,762,80.01,842.01,MBR
1087,12334452791,269003,2013-12-30,4,3,1,920,96.6,1016.6,e-Shop
1107,14543452790,273652,2013-12-29,7,5,1,482,50.61,532.61,MBR
1109,33468347680,268073,2013-12-29,3,2,1,668,70.14,738.14,MBR
1113,16531038014,273230,2013-12-29,1,1,4,505,212.1,2232.1,MBR
1131,55761597221,269697,2013-12-28,5,3,4,1374,577.08,6073.08,e-Shop
1138,80437298259,274360,2013-12-28,1,1,4,600,252.0,2652.0,e-Shop
1144,79025894902,272317,2013-12-28,10,5,3,1095,344.925,3629.925,e-Shop
1147,5019044047,272255,2013-12-27,4,2,2,633,132.93,1398.93,MBR
1160,88345549545,268880,2013-12-27,10,3,1,1373,144.165,1517.165,e-Shop
1184,80592732318,270059,2013-12-26,7,5,3,932,293.58,3089.58,Flagship store
1186,85346069329,273279,2013-12-26,1,2,5,211,110.775,1165.775,TeleShop
1196,35589805855,267134,2013-12-25,4,2,4,515,216.3,2276.3,TeleShop
1211,53251907329,270446,2013-12-24,2,6,4,1407,590.94,6218.94,MBR
1214,18104590837,267959,2013-12-24,12,6,4,787,330.54,3478.54,MBR
1215,11678613802,267750,2013-12-24,11,6,5,1235,648.375,6823.375,e-Shop
1235,4942455630,267203,2013-12-23,11,6,2,223,46.83,492.83,e-Shop
1239,25511948871,273541,2013-12-23,3,1,3,253,79.695,838.695,MBR
1264,47461024544,269967,2013-12-22,11,6,2,918,192.78,2028.78,e-Shop
1269,97870074546,272047,2013-12-22,4,3,2,1261,264.81,2786.81,Flagship store
1337,44812600073,269927,2013-12-19,4,4,5,1373,720.825,7585.825,e-Shop
1348,7065958073,268776,2013-12-18,3,1,2,1191,250.11,2632.11,e-Shop
1353,14082904669,271366,2013-12-18,4,2,3,1223,385.245,4054.245,TeleShop
1354,30138186915,268436,2013-12-18,3,1,5,842,442.05,4652.05,e-Shop
1360,92322562229,273162,2013-12-18,1,1,1,158,16.59,174.59,Flagship store
1382,15491594213,272044,2013-12-17,10,5,4,760,319.2,3359.2,Flagship store
1398,57757107259,267811,2013-12-16,1,2,4,1472,618.24,6506.24,MBR
1406,67854452862,271632,2013-12-16,12,5,5,216,113.4,1193.4,e-Shop
1410,68954440685,270213,2013-12-16,12,5,3,512,161.28,1697.28,Flagship store
1417,27766550080,269318,2013-12-15,7,5,2,647,135.87,1429.87,e-Shop
1423,41186143023,274445,2013-12-15,12,6,2,1446,303.66,3195.66,MBR
1439,3130889793,270163,2013-12-14,1,2,4,1217,511.14,5379.14,TeleShop
1448,34490189973,274411,2013-12-13,1,1,3,1193,375.795,3954.795,TeleShop
1451,23502159123,273587,2013-12-13,4,3,4,1489,625.38,6581.38,Flagship store
1454,45987787833,274244,2013-12-13,10,3,5,144,75.6,795.6,TeleShop
1458,1116722252,272172,2013-12-13,4,3,2,983,206.43,2172.43,e-Shop
1475,17419069064,268104,2013-12-12,4,2,5,1170,614.25,6464.25,e-Shop
1476,41509350188,270603,2013-12-12,3,2,2,496,104.16,1096.16,TeleShop
1477,16197868036,268408,2013-12-12,1,4,5,210,110.25,1160.25,Flagship store
1494,22303224302,268819,2013-11-12,10,5,2,152,31.92,335.92,Flagship store
1520,91064381796,274849,2013-10-12,7,5,3,735,231.525,2436.525,TeleShop
1526,16638211707,271364,2013-09-12,5,3,5,1407,738.675,7773.675,e-Shop
1535,60998973710,271988,2013-09-12,11,5,2,1333,279.93,2945.93,e-Shop
1560,14824697004,267643,2013-08-12,1,4,2,941,197.61,2079.61,TeleShop
1566,71457016698,271636,2013-08-12,4,3,5,1146,601.65,6331.65,Flagship store
1572,43150350263,268346,2013-07-12,6,5,3,1391,438.165,4611.165,TeleShop
1573,55862197829,274112,2013-07-12,4,2,5,151,79.275,834.275,e-Shop
1595,21056686360,267014,2013-06-12,9,3,3,895,281.925,2966.925,Flagship store
1639,49338498583,270159,2013-03-12,1,4,1,1340,140.7,1480.7,TeleShop
1650,55511480516,272475,2013-03-12,10,3,4,300,126.0,1326.0,Flagship store
1657,48144543811,274268,2013-02-12,12,5,5,681,357.525,3762.525,MBR
1662,45565345295,274322,2013-02-12,12,6,4,758,318.36,3350.36,TeleShop
1681,20802079233,274166,2013-01-12,3,2,4,971,407.82,4291.82,TeleShop
1684,30112553725,273058,2013-01-12,12,5,4,1091,458.22,4822.22,e-Shop
1688,35169127371,273094,2013-01-12,11,6,3,1040,327.6,3447.6,MBR
1703,4572080426,267583,2013-11-30,1,1,5,1476,774.9,8154.9,Flagship store
1707,5414577360,267189,2013-11-30,2,6,1,1155,121.275,1276.275,Flagship store
1736,27140992073,270563,2013-11-29,1,1,3,716,225.54,2373.54,TeleShop
1738,67062128695,274219,2013-11-29,4,4,2,1084,227.64,2395.64,TeleShop
1739,65716076029,268679,2013-11-29,4,1,3,291,91.665,964.665,e-Shop
1748,20047331969,270853,2013-11-28,3,1,3,447,140.805,1481.805,MBR
1767,90070094875,272580,2013-11-28,2,6,2,1075,225.75,2375.75,TeleShop
1768,75491888580,273536,2013-11-28,11,5,1,1443,151.515,1594.515,e-Shop
1772,10726102624,267924,2013-11-27,4,1,2,385,80.85,850.85,Flagship store
1781,12711236844,268669,2013-11-26,11,6,5,1472,772.8,8132.8,e-Shop
1783,35308880657,272883,2013-11-26,7,5,4,1161,487.62,5131.62,TeleShop
1786,53609707920,271490,2013-11-26,10,5,1,116,12.18,128.18,e-Shop
1796,92346977532,270465,2013-11-26,5,3,2,1027,215.67,2269.67,MBR
1816,71405509696,271066,2013-11-25,12,5,4,1452,609.84,6417.84,e-Shop
1819,85165256659,273205,2013-11-25,5,3,4,455,191.1,2011.1,TeleShop
1833,85496594077,267199,2013-11-24,1,1,4,366,153.72,1617.72,e-Shop
1850,74355594801,271313,2013-11-23,4,3,3,168,52.92,556.92,Flagship store
1853,80632075198,267817,2013-11-23,4,1,2,1201,252.21,2654.21,e-Shop
1863,12085231431,268796,2013-11-22,10,5,4,1271,533.82,5617.82,Flagship store
1876,75774536483,271586,2013-11-22,3,2,2,587,123.27,1297.27,MBR
1890,97013888577,267792,2013-11-21,12,5,2,1045,219.45,2309.45,TeleShop
1894,80927484036,271656,2013-11-21,1,1,3,422,132.93,1398.93,TeleShop
1897,63664011794,268936,2013-11-21,3,1,2,672,141.12,1485.12,e-Shop
1909,54069703869,270895,2013-11-20,5,3,5,95,49.875,524.875,TeleShop
1911,17817598623,267673,2013-11-20,5,3,2,482,101.22,1065.22,e-Shop
1916,83273621796,269306,2013-11-20,3,5,5,692,363.3,3823.3,MBR
1920,35480534686,273907,2013-11-19,1,1,2,832,174.72,1838.72,e-Shop
1937,60429711724,273440,2013-11-18,3,2,2,831,174.51,1836.51,MBR
1977,23518497045,269005,2013-11-16,4,1,2,1109,232.89,2450.89,MBR
1996,15893698766,270372,2013-11-15,10,5,4,735,308.7,3248.7,MBR
2005,44589474891,270744,2013-11-15,1,2,3,528,166.32,1750.32,Flagship store
2033,77353742330,272117,2013-11-14,8,3,1,1094,114.87,1208.87,e-Shop
2045,49919333273,270458,2013-11-13,8,3,4,1486,624.12,6568.12,TeleShop
2062,24198379467,271862,2013-12-11,12,6,2,1160,243.6,2563.6,e-Shop
2077,41312798981,271665,2013-11-11,11,5,1,1455,152.775,1607.775,e-Shop
2081,5553482422,273682,2013-11-11,1,1,3,368,115.92,1219.92,MBR
2091,12164588630,270262,2013-10-11,3,2,2,1059,222.39,2340.39,Flagship store
2105,9199526379,274044,2013-10-11,1,1,3,606,190.89,2008.89,TeleShop
2108,66276488194,272038,2013-10-11,2,6,2,955,200.55,2110.55,e-Shop
2112,81484744075,270590,2013-10-11,10,6,2,568,119.28,1255.28,e-Shop
2113,67730179963,272722,2013-10-11,3,5,4,274,115.08,1211.08,TeleShop
2120,4623545525,269659,2013-09-11,9,3,5,164,86.1,906.1,MBR
2136,42326945587,271650,2013-08-11,4,3,5,1187,623.175,6558.175,MBR
2171,60783451775,272186,2013-07-11,3,5,5,625,328.125,3453.125,MBR
2176,98703100398,271893,2013-07-11,4,3,4,619,259.98,2735.98,e-Shop
2216,59689043154,274084,2013-05-11,1,1,5,685,359.625,3784.625,e-Shop
2217,56507090706,275229,2013-05-11,6,5,1,1290,135.45,1425.45,e-Shop
2225,55499897374,267706,2013-04-11,10,5,1,75,7.875,82.875,Flagship store
2233,92777957905,271862,2013-04-11,4,3,2,1151,241.71,2543.71,e-Shop
2237,91615088840,275016,2013-04-11,4,4,2,1102,231.42,2435.42,Flagship store
2246,48498600921,274384,2013-03-11,5,3,3,579,182.385,1919.385,TeleShop
2261,2029148714,269596,2013-02-11,4,4,1,600,63.0,663.0,TeleShop
2290,6694723594,269497,2013-10-31,6,5,2,772,162.12,1706.12,e-Shop
2298,38120720917,271101,2013-10-31,12,6,2,77,16.17,170.17,MBR
2324,97908416053,274624,2013-10-30,4,1,5,1276,669.9,7049.9,TeleShop
2351,9657818206,271613,2013-10-28,11,5,5,948,497.7,5237.7,MBR
2362,65770104257,269307,2013-10-28,1,4,3,1205,379.575,3994.575,Flagship store
2363,64929273869,268017,2013-10-28,3,5,4,1465,615.3,6475.3,Flagship store
2366,84896805073,268501,2013-10-28,4,2,3,1492,469.98,4945.98,TeleShop
2378,44113022843,270375,2013-10-27,1,4,1,1376,144.48,1520.48,TeleShop
2404,37058239476,273697,2013-10-26,10,6,5,179,93.975,988.975,e-Shop
2411,90260462481,266966,2013-10-26,3,2,1,310,32.55,342.55,MBR
2428,57814346542,272168,2013-10-25,11,5,1,111,11.655,122.655,Flagship store
2441,74346774200,275175,2013-10-25,1,4,3,881,277.515,2920.515,MBR
2456,11544150945,273017,2013-10-24,1,4,3,878,276.57,2910.57,MBR
2503,36124884774,274955,2013-10-22,10,3,3,776,244.44,2572.44,MBR
2505,48829220523,273258,2013-10-22,1,1,4,296,124.32,1308.32,MBR
2515,73699503055,273347,2013-10-22,9,3,3,234,73.71,775.71,e-Shop
2519,12507576383,269639,2013-10-21,4,4,3,387,121.905,1282.905,e-Shop
2524,33104888370,268098,2013-10-21,3,2,4,294,123.48,1299.48,e-Shop
2527,11263177292,273931,2013-10-21,3,2,5,1204,632.1,6652.1,Flagship store
2529,46819805157,273862,2013-10-21,6,5,1,1210,127.05,1337.05,MBR
2550,24304923911,270811,2013-10-20,1,2,1,214,22.47,236.47,Flagship store
2556,74481954778,274411,2013-10-20,3,2,1,1295,135.975,1430.975,e-Shop
2586,1262038605,267680,2013-10-18,5,3,2,1179,247.59,2605.59,e-Shop
2587,18580784925,268697,2013-10-18,3,1,1,1253,131.565,1384.565,e-Shop
2594,31058355097,272252,2013-10-18,9,3,3,479,150.885,1587.885,TeleShop
2599,6825836521,268533,2013-10-18,6,5,3,1340,422.1,4442.1,Flagship store
2606,72504986680,270550,2013-10-18,3,2,3,1350,425.25,4475.25,Flagship store
2620,36568834140,267384,2013-10-17,3,2,5,1076,564.9,5944.9,TeleShop
2622,88879632755,271916,2013-10-17,1,2,2,415,87.15,917.15,TeleShop
2635,27695383914,274970,2013-10-16,4,3,1,149,15.645,164.645,TeleShop
2641,70181976503,272615,2013-10-16,4,3,5,864,453.6,4773.6,e-Shop
2643,63891606966,270658,2013-10-16,2,6,1,292,30.66,322.66,e-Shop
2672,57378573240,267972,2013-10-14,4,4,3,184,57.96,609.96,e-Shop
2675,53354263776,268063,2013-10-14,8,3,5,404,212.1,2232.1,TeleShop
2684,9044824427,267316,2013-10-14,1,1,4,1386,582.12,6126.12,MBR
2693,60164437362,270908,2013-10-13,8,3,4,231,97.02,1021.02,e-Shop
2725,82518041904,271214,2013-12-10,1,2,1,282,29.61,311.61,Flagship store
2740,99268713598,268148,2013-11-10,4,3,2,631,132.51,1394.51,TeleShop
2758,525041466,274490,2013-10-10,6,5,3,1482,466.83,4912.83,TeleShop
2759,51371824115,267913,2013-10-10,4,2,5,632,331.8,3491.8,Flagship store
2773,19309959579,270571,2013-09-10,7,5,5,1473,773.325,8138.325,e-Shop
2778,7280284948,273489,2013-09-10,11,6,2,968,203.28,2139.28,e-Shop
2794,47348938080,267364,2013-08-10,1,2,3,1322,416.43,4382.43,e-Shop
2795,37160466208,267697,2013-08-10,12,6,4,82,34.44,362.44,e-Shop
2796,37542686191,271076,2013-08-10,3,5,1,657,68.985,725.985,MBR
2804,48493389851,270842,2013-08-10,7,5,1,493,51.765,544.765,Flagship store
2806,63687553623,270870,2013-08-10,11,5,1,947,99.435,1046.435,e-Shop
2808,91288152168,275159,2013-08-10,4,2,2,782,164.22,1728.22,MBR
2819,45453257776,271096,2013-07-10,7,5,1,319,33.495,352.495,Flagship store
2824,10702795422,271144,2013-07-10,3,1,5,1349,708.225,7453.225,Flagship store
2826,13984264413,268391,2013-07-10,12,5,3,282,88.83,934.83,Flagship store
2843,7232517558,267707,2013-06-10,1,1,1,611,64.155,675.155,Flagship store
2848,85790020460,273889,2013-06-10,4,4,3,448,141.12,1485.12,TeleShop
2850,99276576007,269805,2013-06-10,1,1,2,1371,287.91,3029.91,e-Shop
2895,77695448887,267442,2013-04-10,3,2,5,286,150.15,1580.15,MBR
2903,5689364332,275096,2013-03-10,4,1,2,1144,240.24,2528.24,Flagship store
2911,6236454874,267962,2013-03-10,3,1,2,934,196.14,2064.14,TeleShop
2929,98577349267,266975,2013-02-10,5,3,4,1035,434.7,4574.7,e-Shop
2943,4075159127,271040,2013-01-10,1,2,5,733,384.825,4049.825,Flagship store
2949,40677354698,268173,2013-01-10,10,6,2,730,153.3,1613.3,e-Shop
2950,53909388478,273702,2013-01-10,1,1,4,826,346.92,3650.92,Flagship store
2968,40820002811,269240,2013-09-30,4,3,4,859,360.78,3796.78,e-Shop
2991,66288752252,274862,2013-09-29,4,2,5,1185,622.125,6547.125,Flagship store
2999,26419259549,273968,2013-09-28,1,2,3,825,259.875,2734.875,MBR
3001,47641191688,274548,2013-09-28,12,5,1,315,33.075,348.075,Flagship store
3010,54442568243,274219,2013-09-28,2,6,1,1337,140.385,1477.385,MBR
3011,15107557669,270293,2013-09-28,11,5,4,467,196.14,2064.14,e-Shop
3013,40745088690,269484,2013-09-28,12,6,3,175,55.125,580.125,e-Shop
3027,28905805659,274251,2013-09-27,11,6,4,1256,527.52,5551.52,e-Shop
3033,13084503116,274175,2013-09-27,11,6,3,847,266.805,2807.805,e-Shop
3041,1853454901,272857,2013-09-27,1,4,1,837,87.885,924.885,e-Shop
3046,75960776767,274615,2013-09-27,6,5,5,884,464.1,4884.1,MBR
3047,54251889351,267740,2013-09-26,10,5,3,542,170.73,1796.73,MBR
3059,49748204648,269563,2013-09-26,4,4,2,239,50.19,528.19,e-Shop
3061,48444543612,271982,2013-09-26,8,3,3,461,145.215,1528.215,TeleShop
3066,85938756856,269233,2013-09-26,7,5,3,837,263.655,2774.655,MBR
3068,92212740066,271422,2013-09-26,10,6,5,1382,725.55,7635.55,MBR
3079,60363883553,275070,2013-09-25,7,5,2,597,125.37,1319.37,e-Shop
3090,66947374667,269388,2013-09-25,12,6,5,751,394.275,4149.275,e-Shop
3107,44103159566,272893,2013-09-24,4,1,4,958,402.36,4234.36,e-Shop
3116,79512431721,268826,2013-09-24,3,5,4,1295,543.9,5723.9,TeleShop
3120,72495172898,274376,2013-09-24,2,6,5,155,81.375,856.375,MBR
3126,40439389002,267332,2013-09-23,4,3,5,1305,685.125,7210.125,MBR
3139,83513671488,270828,2013-09-23,3,2,3,510,160.65,1690.65,TeleShop
3148,59592937099,270597,2013-09-22,12,6,4,1112,467.04,4915.04,TeleShop
3150,56218226781,272757,2013-09-22,4,1,1,1092,114.66,1206.66,MBR
3166,99963516507,273791,2013-09-22,12,5,2,1053,221.13,2327.13,Flagship store
3176,6419159391,268700,2013-09-21,11,5,3,1242,391.23,4117.23,Flagship store
3194,41548065485,271605,2013-09-20,1,4,2,1265,265.65,2795.65,e-Shop
3198,37441945287,269387,2013-09-20,9,3,4,1414,593.88,6249.88,e-Shop
3204,93457282663,273507,2013-09-20,4,2,3,969,305.235,3212.235,e-Shop
3205,99405618125,272494,2013-09-20,11,6,2,1458,306.18,3222.18,e-Shop
3225,6440616564,272722,2013-09-19,2,6,5,242,127.05,1337.05,TeleShop
3248,99514449468,272494,2013-09-18,3,5,2,1496,314.16,3306.16,MBR
3256,27387831292,269331,2013-09-17,10,5,4,926,388.92,4092.92,e-Shop
3261,52261844925,271923,2013-09-17,2,6,4,270,113.4,1193.4,TeleShop
3262,95618235659,269875,2013-09-17,12,5,3,476,149.94,1577.94,e-Shop
3263,63833750229,269016,2013-09-17,10,6,3,460,144.9,1524.9,TeleShop
3281,31937858775,266883,2013-09-16,10,3,4,468,196.56,2068.56,MBR
3287,81146508695,269859,2013-09-16,1,4,3,323,101.745,1070.745,e-Shop
3300,9074287285,270455,2013-09-15,3,5,2,475,99.75,1049.75,e-Shop
3307,26170819184,267852,2013-09-15,3,2,5,927,486.675,5121.675,MBR
3312,13468408757,271236,2013-09-15,4,4,5,339,177.975,1872.975,Flagship store
3315,99109047002,269789,2013-09-15,5,3,2,1131,237.51,2499.51,TeleShop
3326,30697451045,268486,2013-09-14,3,5,3,714,224.91,2366.91,e-Shop
3342,83169460082,268376,2013-09-14,5,3,2,1050,220.5,2320.5,TeleShop
3343,88606743874,271201,2013-09-14,10,5,5,1220,640.5,6740.5,MBR
3354,39597644149,271160,2013-09-13,10,3,5,208,109.2,1149.2,e-Shop
3365,59575215387,273972,2013-12-09,10,3,3,176,55.44,583.44,MBR
3411,95112445500,270216,2013-10-09,4,3,2,383,80.43,846.43,TeleShop
3412,18937392179,272864,2013-09-09,10,6,3,1180,371.7,3911.7,MBR
3446,40085850040,270241,2013-08-09,12,6,3,343,108.045,1137.045,TeleShop
3469,52365996631,271106,2013-07-09,10,5,3,533,167.895,1766.895,e-Shop
3480,27469711690,268080,2013-06-09,6,5,4,1395,585.9,6165.9,TeleShop
3483,11146026763,268364,2013-06-09,4,3,3,561,176.715,1859.715,e-Shop
3491,77725695028,274048,2013-06-09,10,3,1,1498,157.29,1655.29,TeleShop
3497,65743246843,274006,2013-06-09,2,6,3,304,95.76,1007.76,e-Shop
3498,85461069560,269466,2013-06-09,4,4,5,1233,647.325,6812.325,MBR
3549,78832422682,267534,2013-03-09,12,5,4,730,306.6,3226.6,TeleShop
3569,6096235899,273600,2013-02-09,4,4,2,695,145.95,1535.95,MBR
3579,96061314451,275257,2013-02-09,2,6,3,347,109.305,1150.305,e-Shop
3587,15572869817,273745,2013-01-09,10,3,3,872,274.68,2890.68,e-Shop
3593,80672080156,271485,2013-01-09,4,1,5,1381,725.025,7630.025,e-Shop
3633,5824068074,267803,2013-08-29,9,3,1,943,99.015,1042.015,e-Shop
3636,52115643292,273831,2013-08-29,3,2,3,1244,391.86,4123.86,Flagship store
3639,21982769415,270353,2013-08-29,4,4,5,225,118.125,1243.125,TeleShop
3644,84611139627,271991,2013-08-29,3,5,3,1238,389.97,4103.97,e-Shop
3645,51475345399,271811,2013-08-28,4,2,4,1119,469.98,4945.98,TeleShop
3648,58103089574,272716,2013-08-28,2,6,1,1067,112.035,1179.035,e-Shop
3660,53673172604,275012,2013-08-28,10,5,1,1028,107.94,1135.94,Flagship store
3674,9404565259,267620,2013-08-27,4,3,4,1416,594.72,6258.72,e-Shop
3684,2556975693,271673,2013-08-27,10,5,2,417,87.57,921.57,Flagship store
3686,13669628493,275009,2013-08-27,5,3,3,1268,399.42,4203.42,TeleShop
3690,66190224419,274988,2013-08-27,7,5,2,100,21.0,221.0,e-Shop
3700,48862881472,267503,2013-08-26,10,6,1,898,94.29,992.29,e-Shop
3703,32915614465,273184,2013-08-26,4,2,3,1096,345.24,3633.24,e-Shop
3707,73909207905,269633,2013-08-26,9,3,1,233,24.465,257.465,e-Shop
3712,80396636247,271368,2013-08-26,3,2,3,498,156.87,1650.87,e-Shop
3729,32177435121,267162,2013-08-25,4,1,2,117,24.57,258.57,Flagship store
3740,80145493464,274425,2013-08-25,10,6,4,342,143.64,1511.64,Flagship store
3753,87964267607,270092,2013-08-24,12,5,3,1437,452.655,4763.655,MBR
